Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1680459238051,02/04/2023 18:13:58,1680459220445,-4,02/04/2023 14:13:40,128680,3,questionnaire-pv78,,28614642,BLIND,8515565,,complete,,c3d6d4e3-de55-4096-8757-84fecefb223a,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680459308306,02/04/2023 18:15:08,1680459290544,-4,02/04/2023 14:14:50,128680,3,questionnaire-pv78,,28614642,BLIND,8515565,,complete,,c3d6d4e3-de55-4096-8757-84fecefb223a,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Exit Questions / Debriefing,5,No,ImmsersionSlider,-1
3,1680459308454,02/04/2023 18:15:08,1680459290546,-4,02/04/2023 14:14:50,128680,3,questionnaire-pv78,,28614642,BLIND,8515565,,complete,,c3d6d4e3-de55-4096-8757-84fecefb223a,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,It felt a bit boring waiting for each player to take their turns and lost momentum a bit.
4,1680459308454,02/04/2023 18:15:08,1680459290546,-4,02/04/2023 14:14:50,128680,3,questionnaire-pv78,,28614642,BLIND,8515565,,complete,,c3d6d4e3-de55-4096-8757-84fecefb223a,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Exit Questions / Debriefing,5,No,ExitQ_SettingCheck,Underground caves
5,1680459308454,02/04/2023 18:15:08,1680459290546,-4,02/04/2023 14:14:50,128680,3,questionnaire-pv78,,28614642,BLIND,8515565,,complete,,c3d6d4e3-de55-4096-8757-84fecefb223a,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Exit Questions / Debriefing,5,No,ExitQ_PlayAgain,Unsure
6,1680459308454,02/04/2023 18:15:08,1680459290547,-4,02/04/2023 14:14:50,128680,3,questionnaire-pv78,,28614642,BLIND,8515565,,complete,,c3d6d4e3-de55-4096-8757-84fecefb223a,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Exit Questions / Debriefing,5,No,ExitQ_PlayFeeling,I had no preference toward either player in the game.
7,1680459308454,02/04/2023 18:15:08,1680459290547,-4,02/04/2023 14:14:50,128680,3,questionnaire-pv78,,28614642,BLIND,8515565,,complete,,c3d6d4e3-de55-4096-8757-84fecefb223a,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Exit Questions / Debriefing,5,No,ExitQ_PlayDecisions,"Yes, they made reasonable decisions."
8,1680459308454,02/04/2023 18:15:08,1680459290547,-4,02/04/2023 14:14:50,128680,3,questionnaire-pv78,,28614642,BLIND,8515565,,complete,,c3d6d4e3-de55-4096-8757-84fecefb223a,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Exit Questions / Debriefing,5,No,Debriefing,Yes
9,1680459308454,02/04/2023 18:15:08,1680459290547,-4,02/04/2023 14:14:50,128680,3,questionnaire-pv78,,28614642,BLIND,8515565,,complete,,c3d6d4e3-de55-4096-8757-84fecefb223a,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Exit Questions / Debriefing,5,No,Debriefing-quantised,1
10,1680459308454,02/04/2023 18:15:08,1680459290548,-4,02/04/2023 14:14:50,128680,3,questionnaire-pv78,,28614642,BLIND,8515565,,complete,,c3d6d4e3-de55-4096-8757-84fecefb223a,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Exit Questions / Debriefing,5,No,Feedback,No
11,1680459308454,02/04/2023 18:15:08,1680459290548,-4,02/04/2023 14:14:50,128680,3,questionnaire-pv78,,28614642,BLIND,8515565,,complete,,c3d6d4e3-de55-4096-8757-84fecefb223a,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Exit Questions / Debriefing,5,No,END QUESTIONNAIRE,70103
1,1680459269677,02/04/2023 18:14:29,1680459269998,-5,02/04/2023 13:14:29,128680,3,questionnaire-pv78,,28614663,BLIND,8515567,,complete,,20adbded-4923-4cf7-9a41-581268e4bad4,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680459385091,02/04/2023 18:16:25,1680459385467,-5,02/04/2023 13:16:25,128680,3,questionnaire-pv78,,28614663,BLIND,8515567,,complete,,20adbded-4923-4cf7-9a41-581268e4bad4,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,Exit Questions / Debriefing,5,No,ImmsersionSlider,2
3,1680459385265,02/04/2023 18:16:25,1680459385468,-5,02/04/2023 13:16:25,128680,3,questionnaire-pv78,,28614663,BLIND,8515567,,complete,,20adbded-4923-4cf7-9a41-581268e4bad4,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,"Using only text, it was pretty good, but I dont have a lkot of experience."
4,1680459385265,02/04/2023 18:16:25,1680459385468,-5,02/04/2023 13:16:25,128680,3,questionnaire-pv78,,28614663,BLIND,8515567,,complete,,20adbded-4923-4cf7-9a41-581268e4bad4,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,Exit Questions / Debriefing,5,No,ExitQ_SettingCheck,An underground cave
5,1680459385265,02/04/2023 18:16:25,1680459385468,-5,02/04/2023 13:16:25,128680,3,questionnaire-pv78,,28614663,BLIND,8515567,,complete,,20adbded-4923-4cf7-9a41-581268e4bad4,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,Exit Questions / Debriefing,5,No,ExitQ_PlayAgain,Becky
6,1680459385265,02/04/2023 18:16:25,1680459385468,-5,02/04/2023 13:16:25,128680,3,questionnaire-pv78,,28614663,BLIND,8515567,,complete,,20adbded-4923-4cf7-9a41-581268e4bad4,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,Exit Questions / Debriefing,5,No,ExitQ_PlayFeeling,"Both of them were good, although Aisha seemed more of the leader and was very agressive"
7,1680459385265,02/04/2023 18:16:25,1680459385468,-5,02/04/2023 13:16:25,128680,3,questionnaire-pv78,,28614663,BLIND,8515567,,complete,,20adbded-4923-4cf7-9a41-581268e4bad4,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,Exit Questions / Debriefing,5,No,ExitQ_PlayDecisions,I think so
8,1680459385265,02/04/2023 18:16:25,1680459385469,-5,02/04/2023 13:16:25,128680,3,questionnaire-pv78,,28614663,BLIND,8515567,,complete,,20adbded-4923-4cf7-9a41-581268e4bad4,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,Exit Questions / Debriefing,5,No,Debriefing,Yes
9,1680459385265,02/04/2023 18:16:25,1680459385469,-5,02/04/2023 13:16:25,128680,3,questionnaire-pv78,,28614663,BLIND,8515567,,complete,,20adbded-4923-4cf7-9a41-581268e4bad4,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,Exit Questions / Debriefing,5,No,Debriefing-quantised,1
10,1680459385265,02/04/2023 18:16:25,1680459385469,-5,02/04/2023 13:16:25,128680,3,questionnaire-pv78,,28614663,BLIND,8515567,,complete,,20adbded-4923-4cf7-9a41-581268e4bad4,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,Exit Questions / Debriefing,5,No,Feedback,None
11,1680459385265,02/04/2023 18:16:25,1680459385469,-5,02/04/2023 13:16:25,128680,3,questionnaire-pv78,,28614663,BLIND,8515567,,complete,,20adbded-4923-4cf7-9a41-581268e4bad4,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x754,,Exit Questions / Debriefing,5,No,END QUESTIONNAIRE,115471
1,1680459280572,02/04/2023 18:14:40,1680459280049,-4,02/04/2023 14:14:40,128680,3,questionnaire-pv78,,28614670,BLIND,8515573,,complete,,9ca88fba-af94-4840-85b4-e3de3b19daef,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1616x909,1616x791,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680459349915,02/04/2023 18:15:49,1680459349429,-4,02/04/2023 14:15:49,128680,3,questionnaire-pv78,,28614670,BLIND,8515573,,complete,,9ca88fba-af94-4840-85b4-e3de3b19daef,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1616x909,1616x791,,Exit Questions / Debriefing,5,No,ImmsersionSlider,1
3,1680459350058,02/04/2023 18:15:50,1680459349430,-4,02/04/2023 14:15:49,128680,3,questionnaire-pv78,,28614670,BLIND,8515573,,complete,,9ca88fba-af94-4840-85b4-e3de3b19daef,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1616x909,1616x791,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,no
4,1680459350058,02/04/2023 18:15:50,1680459349430,-4,02/04/2023 14:15:49,128680,3,questionnaire-pv78,,28614670,BLIND,8515573,,complete,,9ca88fba-af94-4840-85b4-e3de3b19daef,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1616x909,1616x791,,Exit Questions / Debriefing,5,No,ExitQ_SettingCheck,caverns
5,1680459350058,02/04/2023 18:15:50,1680459349430,-4,02/04/2023 14:15:49,128680,3,questionnaire-pv78,,28614670,BLIND,8515573,,complete,,9ca88fba-af94-4840-85b4-e3de3b19daef,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1616x909,1616x791,,Exit Questions / Debriefing,5,No,ExitQ_PlayAgain,aisha
6,1680459350058,02/04/2023 18:15:50,1680459349430,-4,02/04/2023 14:15:49,128680,3,questionnaire-pv78,,28614670,BLIND,8515573,,complete,,9ca88fba-af94-4840-85b4-e3de3b19daef,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1616x909,1616x791,,Exit Questions / Debriefing,5,No,ExitQ_PlayFeeling,good
7,1680459350058,02/04/2023 18:15:50,1680459349430,-4,02/04/2023 14:15:49,128680,3,questionnaire-pv78,,28614670,BLIND,8515573,,complete,,9ca88fba-af94-4840-85b4-e3de3b19daef,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1616x909,1616x791,,Exit Questions / Debriefing,5,No,ExitQ_PlayDecisions,yes
8,1680459350058,02/04/2023 18:15:50,1680459349431,-4,02/04/2023 14:15:49,128680,3,questionnaire-pv78,,28614670,BLIND,8515573,,complete,,9ca88fba-af94-4840-85b4-e3de3b19daef,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1616x909,1616x791,,Exit Questions / Debriefing,5,No,Debriefing,Yes
9,1680459350058,02/04/2023 18:15:50,1680459349431,-4,02/04/2023 14:15:49,128680,3,questionnaire-pv78,,28614670,BLIND,8515573,,complete,,9ca88fba-af94-4840-85b4-e3de3b19daef,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1616x909,1616x791,,Exit Questions / Debriefing,5,No,Debriefing-quantised,1
10,1680459350058,02/04/2023 18:15:50,1680459349431,-4,02/04/2023 14:15:49,128680,3,questionnaire-pv78,,28614670,BLIND,8515573,,complete,,9ca88fba-af94-4840-85b4-e3de3b19daef,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1616x909,1616x791,,Exit Questions / Debriefing,5,No,Feedback,no
11,1680459350058,02/04/2023 18:15:50,1680459349431,-4,02/04/2023 14:15:49,128680,3,questionnaire-pv78,,28614670,BLIND,8515573,,complete,,9ca88fba-af94-4840-85b4-e3de3b19daef,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1616x909,1616x791,,Exit Questions / Debriefing,5,No,END QUESTIONNAIRE,69382
1,1680459305520,02/04/2023 18:15:05,1680459305349,-4,02/04/2023 14:15:05,128680,3,questionnaire-pv78,,28614681,BLIND,8515581,,complete,,199d50dc-233c-4c69-b8f0-49ef40bf3b0b,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,768x1024,1024x662,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680459363323,02/04/2023 18:16:03,1680459363184,-4,02/04/2023 14:16:03,128680,3,questionnaire-pv78,,28614681,BLIND,8515581,,complete,,199d50dc-233c-4c69-b8f0-49ef40bf3b0b,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,768x1024,1024x662,,Exit Questions / Debriefing,5,No,ImmsersionSlider,3
3,1680459363523,02/04/2023 18:16:03,1680459363188,-4,02/04/2023 14:16:03,128680,3,questionnaire-pv78,,28614681,BLIND,8515581,,complete,,199d50dc-233c-4c69-b8f0-49ef40bf3b0b,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,768x1024,1024x662,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,graphics!
4,1680459363523,02/04/2023 18:16:03,1680459363188,-4,02/04/2023 14:16:03,128680,3,questionnaire-pv78,,28614681,BLIND,8515581,,complete,,199d50dc-233c-4c69-b8f0-49ef40bf3b0b,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,768x1024,1024x662,,Exit Questions / Debriefing,5,No,ExitQ_SettingCheck,a cave
5,1680459363523,02/04/2023 18:16:03,1680459363188,-4,02/04/2023 14:16:03,128680,3,questionnaire-pv78,,28614681,BLIND,8515581,,complete,,199d50dc-233c-4c69-b8f0-49ef40bf3b0b,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,768x1024,1024x662,,Exit Questions / Debriefing,5,No,ExitQ_PlayAgain,both becky and aisha
6,1680459363523,02/04/2023 18:16:03,1680459363188,-4,02/04/2023 14:16:03,128680,3,questionnaire-pv78,,28614681,BLIND,8515581,,complete,,199d50dc-233c-4c69-b8f0-49ef40bf3b0b,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,768x1024,1024x662,,Exit Questions / Debriefing,5,No,ExitQ_PlayFeeling,"i liked them both, becky was more active"
7,1680459363523,02/04/2023 18:16:03,1680459363189,-4,02/04/2023 14:16:03,128680,3,questionnaire-pv78,,28614681,BLIND,8515581,,complete,,199d50dc-233c-4c69-b8f0-49ef40bf3b0b,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,768x1024,1024x662,,Exit Questions / Debriefing,5,No,ExitQ_PlayDecisions,yes
8,1680459363523,02/04/2023 18:16:03,1680459363189,-4,02/04/2023 14:16:03,128680,3,questionnaire-pv78,,28614681,BLIND,8515581,,complete,,199d50dc-233c-4c69-b8f0-49ef40bf3b0b,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,768x1024,1024x662,,Exit Questions / Debriefing,5,No,Debriefing,Yes
9,1680459363523,02/04/2023 18:16:03,1680459363189,-4,02/04/2023 14:16:03,128680,3,questionnaire-pv78,,28614681,BLIND,8515581,,complete,,199d50dc-233c-4c69-b8f0-49ef40bf3b0b,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,768x1024,1024x662,,Exit Questions / Debriefing,5,No,Debriefing-quantised,1
10,1680459363523,02/04/2023 18:16:03,1680459363189,-4,02/04/2023 14:16:03,128680,3,questionnaire-pv78,,28614681,BLIND,8515581,,complete,,199d50dc-233c-4c69-b8f0-49ef40bf3b0b,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,768x1024,1024x662,,Exit Questions / Debriefing,5,No,Feedback,fun study!
