ImageLeft_ji,ImageRight_ji,ImageCentre_ji,CorrAns,TextLeft_jwsw,TextRight_jwsw,TextCentre_jwsw,Answer,ImageLeft_wisw,ImageRight_wisw,ImageCentre_wisw,TextLeft_wisw,TextRight_wisw,TextCentre_wisw,ITI,TextLeft_jwws,TextRight_jwws,TextCentre_jwws,ImageLeft_wiws,ImageRight_wiws,ImageCentre_wiws,TextLeft_wiws,TextRight_wiws,TextCentre_wiws,ImagesDiscarded.thisRepN,ImagesDiscarded.thisTrialN,ImagesDiscarded.thisN,ImagesDiscarded.thisIndex,ji.thisRepN,ji.thisTrialN,ji.thisN,ji.thisIndex,jwsw.thisRepN,jwsw.thisTrialN,jwsw.thisN,jwsw.thisIndex,wisw.thisRepN,wisw.thisTrialN,wisw.thisN,wisw.thisIndex,jwws.thisRepN,jwws.thisTrialN,jwws.thisN,jwws.thisIndex,wiws.thisRepN,wiws.thisTrialN,wiws.thisN,wiws.thisIndex,thisRow.t,notes,Waiting_for_Scanner_Discard.started,SyncPulse_Discard.started,text_3.started,Waiting_for_Scanner_Discard.stopped,SyncPulse_Discard.keys,SyncPulse_Discard.rt,SyncPulse_Discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,Baseline_Fixation.started,Baseline.started,Baseline_Fixation.stopped,Description.started,text_2.started,Progress.started,Description.stopped,Progress.keys,Progress.rt,Progress.duration,Trial_prep.started,prep_spacebar.started,prep_points.started,text_prep.started,image_left_prep.started,image_right_prep.started,key_resp_prep.started,Trial_prep.stopped,key_resp_prep.keys,key_resp_prep.rt,key_resp_prep.duration,Fixation_Start.started,Fixation_start.started,Fixation_start.stopped,Fixation_Start.stopped,W4S_Trial.started,SyncPulse_Trial.started,fix_Trial.started,W4S_Trial.stopped,SyncPulse_Trial.keys,SyncPulse_Trial.rt,SyncPulse_Trial.duration,just_images.started,image_left_ji.started,image_right_ji.started,image_center_ji.started,key_resp_ji.started,just_images.stopped,key_resp_ji.keys,key_resp_ji.corr,key_resp_ji.rt,key_resp_ji.duration,feedback_ji.started,image_left_ji_2.started,image_right_ji_2.started,image_center_ji_fb.started,feedback_image_2.started,feedback_ji.stopped,fixation_practice.started,text.started,text.stopped,fixation_practice.stopped,prep_jwsw.started,prep_spacebar_jwsw.started,prep_points_2.started,text_prep_2.started,text_left_sw_2.started,text_right_sw_2.started,key_resp_prep_2.started,prep_jwsw.stopped,key_resp_prep_2.keys,key_resp_prep_2.rt,key_resp_prep_2.duration,just_words_sw.started,key_resp_jwsw.started,text_left_sw.started,text_right_sw.started,text_middle_sw.started,just_words_sw.stopped,key_resp_jwsw.keys,key_resp_jwsw.corr,key_resp_jwsw.rt,key_resp_jwsw.duration,feedback_2.started,text_left_sw_3.started,text_right_sw_3.started,text_middle_sw_3.started,feedback_image2.started,feedback_2.stopped,text_left_sw_3.stopped,text_right_sw_3.stopped,text_middle_sw_3.stopped,feedback_image2.stopped,prep_wisw.started,prep_spacebar_2.started,prep_points_3.started,text_prep_3.started,image_left_sw_2.started,image_right_sw_2.started,under_image_left_2.started,under_image_right_2.started,key_resp_prep_3.started,prep_wisw.stopped,key_resp_prep_3.keys,key_resp_prep_3.rt,key_resp_prep_3.duration,words_images_sw.started,key_resp_wisw.started,image_left_sw.started,image_right_sw.started,under_image_left.started,under_image_right.started,image_stim_wisw.started,word_stim_wisw.started,words_images_sw.stopped,key_resp_wisw.keys,key_resp_wisw.corr,key_resp_wisw.rt,key_resp_wisw.duration,feedback_5.started,image_left_sw_8.started,image_right_sw_8.started,under_image_left_8.started,under_image_right_8.started,center_image_wisw_fb.started,center_word_wisw_fb.started,image_wisw_fb.started,feedback_5.stopped,ITI_Interval.started,fixation_point.started,fixation_point.stopped,ITI_Interval.stopped,image_left_sw_8.stopped,image_right_sw_8.stopped,under_image_left_8.stopped,under_image_right_8.stopped,center_image_wisw_fb.stopped,center_word_wisw_fb.stopped,image_wisw_fb.stopped,prep_jwws.started,prep_spacebar_4.started,prep_points_4.started,text_prep_4.started,text_left_ws_2.started,text_right_ws_2.started,key_resp_prep_4.started,prep_jwws.stopped,key_resp_prep_4.keys,key_resp_prep_4.rt,key_resp_prep_4.duration,just_words_ws.started,key_resp_jwws.started,text_left_ws.started,text_right_ws.started,text_middle_ws.started,just_words_ws.stopped,key_resp_jwws.keys,key_resp_jwws.corr,key_resp_jwws.rt,key_resp_jwws.duration,feedback_4.started,text_left_ws_3.started,text_right_ws_3.started,text_middle_jwws_fb.started,image_jwws_fb.started,feedback_4.stopped,text_left_ws_3.stopped,text_right_ws_3.stopped,text_middle_jwws_fb.stopped,image_jwws_fb.stopped,prep_wiws.started,prep_spacebar_3.started,prep_points_5.started,text_prep_5.started,image_left_sw_3.started,image_right_sw_3.started,under_image_left_3.started,under_image_right_3.started,key_resp_prep_5.started,prep_wiws.stopped,key_resp_prep_5.keys,key_resp_prep_5.rt,key_resp_prep_5.duration,words_images_ws.started,key_resp_wiws.started,image_left_ws.started,image_right_ws.started,under_image_left_ws.started,under_image_right_ws.started,image_center_ws.started,text_center_ws.started,words_images_ws.stopped,key_resp_wiws.keys,key_resp_wiws.corr,key_resp_wiws.rt,key_resp_wiws.duration,feedback_8.started,image_left_ws_2.started,image_right_ws_2.started,under_image_left_ws_2.started,under_image_right_ws_2.started,image_center_wiws_fb.started,text_center_wiws_feedback.started,image_wiws_fb.started,feedback_8.stopped,image_left_ws_2.stopped,image_right_ws_2.stopped,under_image_left_ws_2.stopped,under_image_right_ws_2.stopped,image_center_wiws_fb.stopped,text_center_wiws_feedback.stopped,image_wiws_fb.stopped,Baseline.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0051841999957105145,,0.0018565999926067889,0.0051841999957105145,0.0051841999957105145,22.357238699987647,5,22.35091900000407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,22.37171779999335,,22.35864339998807,22.37171779999335,22.37171779999335,23.35716849999153,5,0.9844807000044966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,23.37135029998899,,23.358187899997574,23.37135029998899,23.37135029998899,24.3571907000005,5,0.984725599992089,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,24.37176689998887,,24.358200099988608,24.37176689998887,24.37176689998887,25.356959500000812,5,0.9843131000088761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.35764129999734,25.373393299989402,25.373393299989402,26.3717600999953,5,0.9824957999953767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37177879999217,26.388718499991228,42.37253090000013,42.37254819998634,42.389045199990505,42.389045199990505,51.67324729998654,1,9.26708079999662,0.0010904000082518905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.67329149998841,51.701523799987626,51.701523799987626,51.701523799987626,51.701523799987626,51.701523799987626,51.701523799987626,77.5714733999921,1,25.867424800002482,0.0009272999886889011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00003_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,80.58781409999938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.57149329999811,77.58798839998781,80.58781409999938,80.57139159999497,80.58557440000004,80.58781409999938,80.58781409999938,81.37147079998977,5,0.7691376000002492,None,81.3717833999981,81.38820249999117,81.38820249999117,81.38820249999117,81.38820249999117,82.8713965999923,2,1,1.4807016999984626,0.0009578000026522204,82.87174939998658,82.88792539999122,82.88792539999122,82.88792539999122,82.88792539999122,83.15455899998778,83.15457169999718,83.17127609999443,84.1711542999983,84.15462019998813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00009_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,84.1711542999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.15481399999408,84.1711542999983,84.1711542999983,84.37134209999931,5,0.18576110000140034,None,84.37153939998825,84.38791519998631,84.38791519998631,84.38791519998631,84.38791519998631,85.25470719998702,1,1,0.8640319999976782,0.0009193000005325302,85.254958599995,85.27123499999288,85.27123499999288,85.27123499999288,85.27123499999288,85.53798409999581,85.53799659998913,85.5545284999971,86.55451199998788,86.53805989999091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00008_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,86.55451199998788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.53826039998967,86.55451199998788,86.55451199998788,87.37140049999289,5,0.8024060000025202,None,87.37160519999452,87.3879190000007,87.3879190000007,87.3879190000007,87.3879190000007,88.35465979999572,2,1,0.9619945999875199,0.0009549000096740201,88.35491659998661,88.37124309998762,88.37124309998762,88.37124309998762,88.37124309998762,88.63791569999012,88.63792759999342,88.65448859999015,89.6545291999937,89.63796219999494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00006_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,89.6545291999937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6381626999937,89.6545291999937,89.6545291999937,90.37133959999483,5,0.702431700003217,None,90.37154279999959,90.3878992999962,90.3878992999962,90.3878992999962,90.3878992999962,92.37131669999508,1,1,1.9730714000033913,0.0009086000063689426,92.37157299999672,92.38790379998682,92.38790379998682,92.38790379998682,92.38790379998682,92.65458719999879,92.65459939998982,92.67114999999467,93.6711432999873,93.65457549999701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00001_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,93.6711432999873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.65476589999162,93.6711432999873,93.6711432999873,94.3712564999878,5,0.6858168999897316,None,94.37146019999636,94.38784609999857,94.38784609999857,94.38784609999857,94.38784609999857,95.20657509999,2,1,0.8052962999936426,0.0011131000064779073,95.20729619999474,95.22733089998655,95.22733089998655,95.22733089998655,95.22733089998655,95.5057256,95.5057470999891,95.52186389999406,96.5219694999978,96.50547720000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00009_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,96.5219694999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.50578799999494,96.5219694999978,96.5219694999978,97.37252929998795,5,0.8350617999967653,None,97.37294349999866,97.38861319998978,97.38861319998978,97.38861319998978,97.38861319998978,98.0892429999949,2,1,0.6844258000055561,0.0009280999947804958,98.08978339999157,98.10849629998847,98.10849629998847,98.10849629998847,98.10849629998847,98.38898289999634,98.38900619999913,98.4054771999945,,99.38927319999493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wm00012_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,99.40583349998633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.38975959998788,99.40583349998633,99.40583349998633,100.37226689999807,5,0.9512843999982579,None,100.37268709999626,100.3885239999945,100.3885239999945,100.3885239999945,100.3885239999945,101.32157489999372,1,1,0.9315865000098711,0.0008891000034054741,101.32183289999375,101.33819589999621,101.33819589999621,101.33819589999621,101.33819589999621,101.60697819999768,101.6070175999921,101.62325549998786,,102.62214669999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00011_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,102.63867960000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.62250709999353,102.63867960000061,102.63867960000061,103.37282959998993,5,0.7185081000061473,None,103.37331019999692,103.38823339999362,103.38823339999362,103.38823339999362,103.38823339999362,104.17260419999366,2,1,0.7701971999922534,0.000567299997783266,104.17311429999245,104.19052949998877,104.19052949998877,104.19052949998877,104.19052949998877,104.47195409999404,104.47197319999395,104.48861289999331,,105.47265699999116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wm00001_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,105.48823569998785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.47316460000002,105.48823569998785,105.48823569998785,106.37226329999976,5,0.8688063000008697,None,106.37268279999262,106.38834379999025,106.38834379999025,106.38834379999025,106.38834379999025,107.3890878999955,1,1,0.9980790999979945,0.0007157999934861436,107.38962069999252,107.4070814000006,107.4070814000006,107.4070814000006,107.4070814000006,107.68855199999234,107.68857209999987,107.70532119998825,108.70500759998686,108.68867350000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00002_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,108.70500759998686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.68898399999307,108.70500759998686,108.70500759998686,109.37222009999095,5,0.6520433999976376,None,109.37258609999844,109.38847899998655,109.38847899998655,109.38847899998655,109.38847899998655,110.3729108999978,2,1,0.9751854000060121,0.0,110.3735439999873,110.39349719999882,110.39349719999882,110.39349719999882,110.39349719999882,110.67198109999299,110.67200269999739,110.68859009999142,111.68849159999809,111.67183509998722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00004_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,111.68849159999809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.6721503000008,111.68849159999809,111.68849159999809,112.37204689999635,5,0.6685312999907183,None,112.37241219999851,112.38823769999726,112.38823769999726,112.38823769999726,112.38823769999726,113.3396320999891,1,1,0.9349414000025718,0.0008406999986618757,113.3403083999874,113.36011850000068,113.36011850000068,113.36011850000068,113.36011850000068,113.63872369998717,113.63874579999538,113.65505950000079,114.65527559998736,114.63881889999902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wm00003_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,114.65527559998736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.6391666999989,114.65527559998736,114.65527559998736,115.3724543999997,5,0.701801000002888,None,115.37287349998951,115.38833750000049,115.38833750000049,115.38833750000049,115.38833750000049,116.70584609999787,1,1,1.302710300005856,0.000894299999345094,116.70638289999624,116.7240441999893,116.7240441999893,116.7240441999893,116.7240441999893,117.00534279999556,117.00536329999159,117.02178819999972,118.02710709998792,118.00538329999836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.00544769999397,118.02710709998792,118.02710709998792,118.02710709998792,118.02710709998792,118.02710709998792,118.02710709998792,127.37159239999892,1,9.343343599990476,0.0005106000025989488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
,,,2,Strong,Weak,Brawny,left,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,127.38801819999935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.3825269999943,127.38801819999935,127.38801819999935,128.3722415999946,5,0.9692466999986209,None,,,,,,,,,,,,,,,,,129.73820759999217,129.75484719999076,,130.73828339998727,,,,,,,,,,,,128.37285589998646,128.38916559999052,128.38916559999052,128.38916559999052,128.38916559999052,129.45443169999635,2,1,1.0519175000081304,0.0008550999918952584,129.45498089998728,129.47128410000005,129.47128410000005,129.47128410000005,129.47128410000005,129.7381927999959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
,,,1,Strong,Weak,Soft,right,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,130.75552869999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.73864289998892,130.75552869999956,130.75552869999956,131.7054863999947,5,0.9486209000024246,None,,,,,,,,,,,,,,,,,137.3714944999956,137.38799019998987,,138.37195009998686,,,,,,,,,,,,131.70585719999508,131.72160319999966,131.72160319999966,131.72160319999966,131.72160319999966,137.08745279999857,1,1,5.356481700000586,0.0032850999996298924,137.08787129999837,137.10481719998643,137.10481719998643,137.10481719998643,137.10481719998643,137.37148129999696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW010_Run1,RBDCW010_Run1,2024-04-16_16h23.05.140,IAT_test,2023.2.2,59.99282485763861,2024-04-16 16h23.11.559532 -0400,
