ImageLeft_ji,ImageRight_ji,ImageCentre_ji,CorrAns,TextLeft_jwsw,TextRight_jwsw,TextCentre_jwsw,Answer,ImageLeft_wisw,ImageRight_wisw,ImageCentre_wisw,TextLeft_wisw,TextRight_wisw,TextCentre_wisw,ITI,TextLeft_jwws,TextRight_jwws,TextCentre_jwws,ImageLeft_wiws,ImageRight_wiws,ImageCentre_wiws,TextLeft_wiws,TextRight_wiws,TextCentre_wiws,ImagesDiscarded.thisRepN,ImagesDiscarded.thisTrialN,ImagesDiscarded.thisN,ImagesDiscarded.thisIndex,ji.thisRepN,ji.thisTrialN,ji.thisN,ji.thisIndex,jwsw.thisRepN,jwsw.thisTrialN,jwsw.thisN,jwsw.thisIndex,wisw.thisRepN,wisw.thisTrialN,wisw.thisN,wisw.thisIndex,jwws.thisRepN,jwws.thisTrialN,jwws.thisN,jwws.thisIndex,wiws.thisRepN,wiws.thisTrialN,wiws.thisN,wiws.thisIndex,thisRow.t,notes,Waiting_for_Scanner_Discard.started,SyncPulse_Discard.started,text_3.started,Waiting_for_Scanner_Discard.stopped,SyncPulse_Discard.keys,SyncPulse_Discard.rt,SyncPulse_Discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,Baseline_Fixation.started,Baseline.started,Baseline.stopped,Baseline_Fixation.stopped,Description.started,text_2.started,Progress.started,Description.stopped,Progress.keys,Progress.rt,Progress.duration,Trial_prep.started,prep_spacebar.started,prep_points.started,text_prep.started,image_left_prep.started,image_right_prep.started,key_resp_prep.started,Trial_prep.stopped,key_resp_prep.keys,key_resp_prep.rt,key_resp_prep.duration,Fixation_Start.started,Fixation_start.started,Fixation_Start.stopped,W4S_Trial.started,SyncPulse_Trial.started,fix_Trial.started,W4S_Trial.stopped,SyncPulse_Trial.keys,SyncPulse_Trial.rt,SyncPulse_Trial.duration,just_images.started,image_left_ji.started,image_right_ji.started,image_center_ji.started,key_resp_ji.started,just_images.stopped,key_resp_ji.keys,key_resp_ji.corr,key_resp_ji.rt,key_resp_ji.duration,feedback_ji.started,image_left_ji_2.started,image_right_ji_2.started,image_center_ji_fb.started,feedback_image_2.started,feedback_ji.stopped,fixation_practice.started,text.started,text.stopped,fixation_practice.stopped,image_left_ji_2.stopped,image_right_ji_2.stopped,image_center_ji_fb.stopped,feedback_image_2.stopped,prep_jwsw.started,prep_spacebar_jwsw.started,prep_points_2.started,text_prep_2.started,text_left_sw_2.started,text_right_sw_2.started,key_resp_prep_2.started,prep_jwsw.stopped,key_resp_prep_2.keys,key_resp_prep_2.rt,key_resp_prep_2.duration,just_words_sw.started,key_resp_jwsw.started,text_left_sw.started,text_right_sw.started,text_middle_sw.started,just_words_sw.stopped,key_resp_jwsw.keys,key_resp_jwsw.corr,key_resp_jwsw.rt,key_resp_jwsw.duration,feedback_2.started,text_left_sw_3.started,text_right_sw_3.started,text_middle_sw_3.started,feedback_image2.started,feedback_2.stopped,text_left_sw_3.stopped,text_right_sw_3.stopped,text_middle_sw_3.stopped,feedback_image2.stopped,prep_wisw.started,prep_spacebar_2.started,prep_points_3.started,text_prep_3.started,image_left_sw_2.started,image_right_sw_2.started,under_image_left_2.started,under_image_right_2.started,key_resp_prep_3.started,prep_wisw.stopped,key_resp_prep_3.keys,key_resp_prep_3.rt,key_resp_prep_3.duration,words_images_sw.started,key_resp_wisw.started,image_left_sw.started,image_right_sw.started,under_image_left.started,under_image_right.started,image_stim_wisw.started,word_stim_wisw.started,words_images_sw.stopped,key_resp_wisw.keys,key_resp_wisw.corr,key_resp_wisw.rt,key_resp_wisw.duration,feedback_5.started,image_left_sw_8.started,image_right_sw_8.started,under_image_left_8.started,under_image_right_8.started,center_image_wisw_fb.started,center_word_wisw_fb.started,image_wisw_fb.started,feedback_5.stopped,ITI_Interval.started,fixation_point.started,fixation_point.stopped,ITI_Interval.stopped,image_left_sw_8.stopped,image_right_sw_8.stopped,under_image_left_8.stopped,under_image_right_8.stopped,center_image_wisw_fb.stopped,center_word_wisw_fb.stopped,image_wisw_fb.stopped,prep_jwws.started,prep_spacebar_4.started,prep_points_4.started,text_prep_4.started,text_left_ws_2.started,text_right_ws_2.started,key_resp_prep_4.started,prep_jwws.stopped,key_resp_prep_4.keys,key_resp_prep_4.rt,key_resp_prep_4.duration,just_words_ws.started,key_resp_jwws.started,text_left_ws.started,text_right_ws.started,text_middle_ws.started,just_words_ws.stopped,key_resp_jwws.keys,key_resp_jwws.corr,key_resp_jwws.rt,key_resp_jwws.duration,feedback_4.started,text_left_ws_3.started,text_right_ws_3.started,text_middle_jwws_fb.started,image_jwws_fb.started,feedback_4.stopped,text_left_ws_3.stopped,text_right_ws_3.stopped,text_middle_jwws_fb.stopped,image_jwws_fb.stopped,prep_wiws.started,prep_spacebar_3.started,prep_points_5.started,text_prep_5.started,image_left_sw_3.started,image_right_sw_3.started,under_image_left_3.started,under_image_right_3.started,key_resp_prep_5.started,prep_wiws.stopped,key_resp_prep_5.keys,key_resp_prep_5.rt,key_resp_prep_5.duration,words_images_ws.started,key_resp_wiws.started,image_left_ws.started,image_right_ws.started,under_image_left_ws.started,under_image_right_ws.started,image_center_ws.started,text_center_ws.started,words_images_ws.stopped,key_resp_wiws.keys,key_resp_wiws.corr,key_resp_wiws.rt,key_resp_wiws.duration,feedback_8.started,image_left_ws_2.started,image_right_ws_2.started,under_image_left_ws_2.started,under_image_right_ws_2.started,image_center_wiws_fb.started,text_center_wiws_feedback.started,image_wiws_fb.started,feedback_8.stopped,image_left_ws_2.stopped,image_right_ws_2.stopped,under_image_left_ws_2.stopped,under_image_right_ws_2.stopped,image_center_wiws_fb.stopped,text_center_wiws_feedback.stopped,image_wiws_fb.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.005235000047832727,,0.0018048000056296587,0.005235000047832727,0.005235000047832727,14.17180830007419,5,14.160871900036,0.0010221999837085605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,14.189039300079457,,14.172425800003111,14.189039300079457,14.189039300079457,15.091226399992593,5,0.8906912000384182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,15.105252200039104,,15.092651200015098,15.105252200039104,15.105252200039104,16.089226600015536,5,0.974267499987036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,16.10556749999523,,16.08966230007354,16.10556749999523,16.10556749999523,17.08889110002201,5,0.9737935999874026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.089131199987605,17.105383999994956,17.105383999994956,18.089740100083873,5,0.9740792999509722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.08977419999428,18.10600280005019,34.10669709998183,34.089392800000496,34.0894064999884,34.10669709998183,34.10669709998183,40.92141499998979,2,6.812760300002992,0.001402700087055564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.921445499989204,40.93822110001929,40.93822110001929,40.93822110001929,40.93822110001929,40.93822110001929,40.93822110001929,50.321511600050144,2,9.382056900067255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00003_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,53.34275720000733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.321547000086866,50.338945999974385,53.322788599994965,53.34059050003998,53.34275720000733,53.34275720000733,54.089270500000566,5,0.736895100097172,None,54.08984110003803,54.10490560007747,54.10490560007747,54.10490560007747,54.10490560007747,58.12263800005894,2,1,4.013399599934928,0.0009665000252425671,58.12331170006655,58.140852299984545,58.140852299984545,58.140852299984545,58.140852299984545,58.40587950008921,58.40590070001781,58.42210840003099,59.42200280004181,59.40569000004325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00009_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,59.42200280004181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.40603180008475,59.42200280004181,59.42200280004181,60.08934790000785,5,0.6572483000345528,None,60.089747600024566,60.10561760002747,60.10561760002747,60.10561760002747,60.10561760002747,61.67258900008164,1,1,1.5550174999516457,0.000909700058400631,61.673071400029585,61.68989270005841,61.68989270005841,61.68989270005841,61.68989270005841,61.97165710001718,61.971668699989095,61.98807299998589,,62.97238719998859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00008_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,62.98891299997922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.97275100008119,62.98891299997922,62.98891299997922,63.089277400053106,5,0.09032060008030385,None,63.08964310004376,63.10511830006726,63.10511830006726,63.10511830006726,63.10511830006726,65.1898720000172,2,1,2.08053130004555,0.0010282999137416482,65.19055290007964,65.2053035000572,65.2053035000572,65.2053035000572,65.2053035000572,65.48925540002529,65.48927500005811,65.50559319998138,66.50556249998044,66.48913110001013,65.50559319998138,65.50559319998138,65.50559319998138,65.50559319998138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00006_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,66.50556249998044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.48948180000298,66.50556249998044,66.50556249998044,67.08924770005979,5,0.5739347999915481,None,67.089616100071,67.10539919999428,67.10539919999428,67.10539919999428,67.10539919999428,68.6897301999852,1,1,1.569752899929881,0.0010190000757575035,68.69033070001751,68.70941220002715,68.70941220002715,68.70941220002715,68.70941220002715,68.98906930000521,68.98908950004261,69.00528120005038,70.00563470006455,69.98910210002214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00001_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,70.00563470006455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.98945710004773,70.00563470006455,70.00563470006455,70.08914350008126,5,0.07364480011165142,None,70.08950970007572,70.10477189999074,70.10477189999074,70.10477189999074,70.10477189999074,71.62223690003157,2,1,1.504326599999331,0.0009693000465631485,71.6226042000344,71.63836880004965,71.63836880004965,71.63836880004965,71.63836880004965,71.90591039997526,71.90593340003397,71.92234170006122,72.9221723000519,72.90596030000597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00009_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,72.9221723000519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.90636000002269,72.9221723000519,72.9221723000519,73.08936950005591,5,0.15751100005581975,None,73.08978420007043,73.1050922999857,73.1050922999857,73.1050922999857,73.1050922999857,74.17316250002477,2,1,1.062171300058253,0.001016099937260151,74.17381310008932,74.19334220001474,74.19334220001474,74.19334220001474,74.19334220001474,74.47242010000627,74.47244090004824,74.48884600005113,75.48866410006303,75.47218799998518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wm00012_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,75.48866410006303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.47253859997727,75.48866410006303,75.48866410006303,76.08922309998889,5,0.5907471000682563,None,76.08959009998944,76.10493460006546,76.10493460006546,76.10493460006546,76.10493460006546,80.27231899998151,1,1,4.154419800033793,0.0012968999799340963,80.27278860006481,80.28931380005088,80.28931380005088,80.28931380005088,80.28931380005088,80.55587739998009,80.55590040003881,80.57227100001182,81.5717751000775,81.55516079999506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/am00011_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,81.5717751000775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5553677000571,81.5717751000775,81.5717751000775,82.09007719997317,5,0.5076850999612361,None,82.09065340005327,82.1050191000104,82.1050191000104,82.1050191000104,82.1050191000104,84.94125090003945,2,1,2.82242550002411,0.0015224000671878457,84.94232889998239,84.96593469998334,84.96593469998334,84.96593469998334,84.96593469998334,85.2394780999748,85.23950460006017,85.2558546999935,86.25542010006029,86.23895150003955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wm00001_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,86.25542010006029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.23928870004602,86.25542010006029,86.25542010006029,87.08916209999006,5,0.8241143999621272,None,87.08956150000449,87.10498419997748,87.10498419997748,87.10498419997748,87.10498419997748,91.02204409998376,2,0,3.914557399926707,0.0008981000864878297,91.02246430004016,91.0376126000192,91.0376126000192,91.0376126000192,91.0376126000192,91.30544070003089,91.3054619000759,91.32202570000663,92.3219623999903,92.30549950001296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/af00002_fg.png,2,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,92.3219623999903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.30581719998736,92.3219623999903,92.3219623999903,93.08930840005632,5,0.7576331000309438,None,93.089734600042,93.1049751000246,93.1049751000246,93.1049751000246,93.1049751000246,95.33895310002845,2,1,2.2182691000634804,0.0007954000029712915,95.33943090005778,95.35471720003989,95.35471720003989,95.35471720003989,95.35471720003989,95.63835370005108,95.63836520002224,95.65505280008074,,96.63970659999177,95.65505280008074,95.65505280008074,95.65505280008074,95.65505280008074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wf00004_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,96.65601670008618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.64030760002788,96.65601670008618,96.65601670008618,97.08887320000213,5,0.4232668000040576,None,97.08920060005039,97.10522949998267,97.10522949998267,97.10522949998267,97.10522949998267,99.85553699999582,1,1,2.737992399954237,0.001088300021365285,99.85601370001677,99.8720733000664,99.8720733000664,99.8720733000664,99.8720733000664,100.13873310002964,100.13875310006551,100.15534709999338,,101.13912270008586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
cropped/af00009_fg.png,cropped/wf00009_fg.png,IAT_image/wm00003_fg.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,101.15590330003761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.13960400002543,101.15590330003761,101.15590330003761,102.08872850006446,5,0.9237383001018316,None,102.08909810008481,102.10546400002204,102.10546400002204,102.10546400002204,102.10546400002204,104.25544600002468,2,0,2.1380206999601796,0.000811200006864965,104.25590470002498,104.27247650001664,104.27247650001664,104.27247650001664,104.27247650001664,104.53906520002056,104.53909159998875,104.55564859998412,105.56081549997907,105.53857059997972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.53864020004403,105.56081549997907,105.56081549997907,105.56081549997907,105.56081549997907,105.56081549997907,105.56081549997907,113.13838800007943,2,7.562283199978992,0.0010244000004604459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
,,,2,Strong,Weak,Brawny,left,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,113.15468040003907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.14963680005167,113.15468040003907,113.15468040003907,114.08940629998688,5,0.9248568000039086,None,,,,,,,,,,,,,,,,,115.90518920007162,115.9214789000107,116.9215239000041,116.9049525000155,,,,,,,,,,,,,,,,114.09018589998595,114.10721020004712,114.10721020004712,114.10721020004712,114.10721020004712,115.62100420007482,2,1,1.497927900054492,0.0009274999611079693,115.6215596999973,115.63820839999244,115.63820839999244,115.63820839999244,115.63820839999244,115.90517130005173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW003_Run1,RBDCW003_Run1,2024-03-27_15h10.10.630,IAT_test,2023.2.2,59.95034914755978,2024-03-27 15h10.29.292204 -0400,
