Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
15,1.67407E+12,18/01/2023 20:33:21,1.67407E+12,-6,18/01/2023 14:33:20,110083,9,questionnaire-fldq,,26470226,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEF4,6
16,1.67407E+12,18/01/2023 20:33:21,1.67407E+12,-6,18/01/2023 14:33:20,110083,9,questionnaire-fldq,,26470226,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEF5,7
17,1.67407E+12,18/01/2023 20:33:21,1.67407E+12,-6,18/01/2023 14:33:20,110083,9,questionnaire-fldq,,26470226,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,END QUESTIONNAIRE,31924
1,1.67407E+12,18/01/2023 20:33:27,1.67407E+12,-5,18/01/2023 15:33:27,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE1,2
3,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE2,3
4,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE3,2
5,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE4,3
6,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE5,2
7,1.67407E+12,18/01/2023 20:33:55,1.67407E+12,-5,18/01/2023 15:33:55,110083,9,questionnaire-fldq,,26470242,BLIND,7814320,,complete,oepruf,3LBXNTKX0X6BJ2VEZBCVS72FGRD9X9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1417x563,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE6,2
