Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
1,1.67407E+12,18/01/2023 20:32:05,1.67407E+12,-6,18/01/2023 14:32:04,110083,9,questionnaire-sv4h,,26470205,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Socioenvironmental Concept Exposure,2,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1.67407E+12,18/01/2023 20:32:28,1.67407E+12,-6,18/01/2023 14:32:28,110083,9,questionnaire-sv4h,,26470205,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Exposure,2,NonBlackIdentity,No,SEE1,5
3,1.67407E+12,18/01/2023 20:32:28,1.67407E+12,-6,18/01/2023 14:32:28,110083,9,questionnaire-sv4h,,26470205,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Exposure,2,NonBlackIdentity,No,SEE2,2
4,1.67407E+12,18/01/2023 20:32:28,1.67407E+12,-6,18/01/2023 14:32:28,110083,9,questionnaire-sv4h,,26470205,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Exposure,2,NonBlackIdentity,No,SEE3,3
5,1.67407E+12,18/01/2023 20:32:28,1.67407E+12,-6,18/01/2023 14:32:28,110083,9,questionnaire-sv4h,,26470205,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Exposure,2,NonBlackIdentity,No,SEE4,6
6,1.67407E+12,18/01/2023 20:32:28,1.67407E+12,-6,18/01/2023 14:32:28,110083,9,questionnaire-sv4h,,26470205,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Exposure,2,NonBlackIdentity,No,SEE5,5
7,1.67407E+12,18/01/2023 20:32:28,1.67407E+12,-6,18/01/2023 14:32:28,110083,9,questionnaire-sv4h,,26470205,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Exposure,2,NonBlackIdentity,No,SEE6,3
8,1.67407E+12,18/01/2023 20:32:28,1.67407E+12,-6,18/01/2023 14:32:28,110083,9,questionnaire-sv4h,,26470205,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Exposure,2,NonBlackIdentity,No,SEE7,3
9,1.67407E+12,18/01/2023 20:32:28,1.67407E+12,-6,18/01/2023 14:32:28,110083,9,questionnaire-sv4h,,26470205,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Exposure,2,NonBlackIdentity,No,SEE8,2
10,1.67407E+12,18/01/2023 20:32:28,1.67407E+12,-6,18/01/2023 14:32:28,110083,9,questionnaire-sv4h,,26470205,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Exposure,2,NonBlackIdentity,No,SEE9,2
